"mean","median","variance","std","entropy"
0.410701327433628,0.408628318584071,0.000214884940347976,0.0146589542719792,1.00229207153727
0.411629646017699,0.411725663716814,0.000169416991390325,0.013016028249444,1.08101107781495
0.407085840707965,0.407522123893805,0.000458753021170595,0.0214185205177807,0.853586075401503
0.414777433628319,0.415486725663717,0.000195479642654637,0.0139814034579736,0.973172733156438
0.410379646017699,0.412389380530973,0.000201185255268582,0.0141839788236088,1.01329484832535
0.409928318584071,0.409734513274336,0.000171999110865898,0.0131148431506403,1.12704912669118
0.409994247787611,0.410619469026549,0.000173685399511815,0.0131789756624639,1.15687428111983
0.411633185840708,0.411946902654867,0.000195272866844446,0.013974006828553,1.00585424846932
0.411065044247788,0.411504424778761,0.000218095954635817,0.0147680721367353,0.957641539975619
0.409919911504425,0.414601769911504,0.000377234748845486,0.0194225319885304,0.816715442810758
0.407743362831858,0.397787610619469,0.0022645286056673,0.0475870634276512,0.361605055826361
0.410397787610619,0.411061946902655,0.000258236543184268,0.0160697399849614,0.923186611437866
0.413542477876106,0.41283185840708,0.000177954358932509,0.0133399534831464,1.03876713312376
0.412539380530973,0.411946902654867,0.000144249911866601,0.0120104084804223,1.12664866762722
0.410563716814159,0.410619469026549,0.000121943175064798,0.0110427883736309,1.2162021430848
0.41365,0.41283185840708,0.00153927876482481,0.0392336432774833,0.452476306120911
0.397575221238938,0.400442477876106,0.000767515028537818,0.0277040615891933,0.593482660425708
0.416149115044248,0.419469026548673,0.000407057537410541,0.0201756669632144,0.739169061732598
0.412590707964602,0.41283185840708,0.000331617931464239,0.0182103797726527,0.820666260467509
0.413235840707965,0.411504424778761,0.000314777819365297,0.0177419790149041,0.799020998496424
0.40835796460177,0.407964601769912,0.000160798804717475,0.0126806468572181,1.09705062127604
0.409950442477876,0.40929203539823,0.000218113770438933,0.0147686753109049,0.974076462058055
0.411888495575221,0.413274336283186,0.000211067551222614,0.0145281640692351,0.932050155873375
0.413407522123894,0.414159292035398,0.000300443053869125,0.0173332932205373,0.838335728915887
0.408202212389381,0.404424778761062,0.000565915322284458,0.0237889748052424,0.669683865149947
0.413356637168142,0.41283185840708,0.000226343385440417,0.0150447128733126,0.93250996797957
0.406803097345133,0.407300884955752,0.000485343275572542,0.0220305078373727,0.743816983585544
0.411828318584071,0.413716814159292,0.000855672842550437,0.0292518861366312,0.532619573496674
0.410356637168142,0.40929203539823,0.000459379256302273,0.0214331345421586,0.71652598026057
0.412319911504425,0.412389380530973,0.000172803069927159,0.0131454581482411,1.03573257879616
0.408238053097345,0.40929203539823,0.000157176927103311,0.0125370222582283,1.08407419015254
0.410068584070796,0.409734513274336,0.000157892831942288,0.0125655414504226,1.05163852460018
0.409067256637168,0.408185840707965,0.000267849088026079,0.0163660956866957,0.900558380384835
0.411373008849558,0.411946902654867,0.000695323091711024,0.0263689797244987,0.627988791096572
0.413634955752212,0.413716814159292,0.00025793253018858,0.0160602780233899,0.870434978991181
0.408954424778761,0.410176991150442,0.000157146501776269,0.0125358087803009,1.08205202402505
0.412465044247788,0.412389380530973,0.000178250879707337,0.0133510628680767,0.980491597244964
0.409657079646018,0.408407079646018,0.000326641226354399,0.0180732184835573,0.827656252695349
0.409836725663717,0.409734513274336,0.000116685649350502,0.0108021131891173,1.21679153551087
0.409688053097345,0.410176991150442,0.000121781656156901,0.0110354726295207,1.17782873548524
0.411690707964602,0.412389380530973,0.00014329815738677,0.0119707208382273,1.02209988914614
0.409143362831858,0.408407079646018,0.000202518107425305,0.014230885686608,0.935590085096209
0.408246902654867,0.410176991150442,0.000322066713122395,0.0179462172371337,0.862245327071903
0.410953982300885,0.410619469026549,0.000339365221592491,0.0184218680266821,0.859182975302186
0.410475221238938,0.406194690265487,0.00317432314529268,0.0563411319134847,0.282972971618853
0.416419911504425,0.412389380530973,0.000348092065556041,0.0186572255589099,0.759756018254039
0.407762831858407,0.407964601769912,0.000114324141668491,0.0106922468017013,1.18000300466032
0.412574336283186,0.409734513274336,0.000863259154682915,0.0293812721760463,0.59752976995072
0.408950442477876,0.408849557522124,0.000152424727962358,0.0123460409833419,1.09491521864127
0.410170353982301,0.410619469026549,0.000465763510985337,0.0215815548787694,0.696829150569384
0.409020796460177,0.408628318584071,0.000192749964899507,0.0138834421128014,0.945601479919734
0.420897787610619,0.414601769911504,0.00162973619696131,0.0403699912925593,0.406150839731307
0.402145132743363,0.400884955752212,0.000546399813549943,0.0233751965456965,0.740112855991593
0.410539380530973,0.404867256637168,0.000463495102707061,0.0215289364044549,0.738289223154781
0.414416814159292,0.413716814159292,0.000244400026151925,0.0156332986331076,0.887596196699628
0.406753539823009,0.407522123893805,0.000368425405395998,0.0191944107853301,0.748431063751517
0.414702212389381,0.415044247787611,0.00019182732560268,0.0138501742083874,0.941331193947944
0.409285398230088,0.408185840707965,0.000182539571249533,0.0135107206043768,0.958640315256909
0.407930530973451,0.406637168141593,0.000160303045429328,0.0126610838963071,1.13552059692439
0.411465044247788,0.410176991150442,0.000271001888998404,0.0164621350072949,0.935326633481566
0.410080973451327,0.410619469026549,0.000217055474889095,0.0147328026827585,0.982523941958864
0.410244690265487,0.41283185840708,0.000478913323026214,0.0218840883526414,0.77382391138182
0.411430088495575,0.411504424778761,0.000226160018582291,0.0150386175755051,0.945979850636731
0.41297610619469,0.41283185840708,0.000120077341810445,0.0109579807359954,1.17656994930998
0.41076814159292,0.411504424778761,0.000226401337511056,0.0150466387446186,0.937145599141674
0.405961061946903,0.404424778761062,0.000154360487827478,0.0124241896245783,1.06911591167609
0.409040707964602,0.410176991150442,0.00051021367047994,0.0225879098298169,0.656331345257636
0.413448672566372,0.412389380530973,0.000283342462989264,0.0168327794196105,0.888019904005003
0.414430973451327,0.413716814159292,0.000672005901272876,0.0259230766166533,0.664034108344683
0.410909734513274,0.408849557522124,0.00257684257677679,0.0507626100272316,0.319180663215603
0.409565044247788,0.408849557522124,0.000171280276870182,0.0130874090969214,1.11432245712122
0.411008849557522,0.411061946902655,0.000133855681980046,0.0115696016344577,1.11300412168421
0.410688495575221,0.411946902654867,0.000278207893852032,0.0166795651577621,0.876768828624464
