"cluster_no","mean","median","variance","std","entropy"
"1",0.410431583151543,0.410517498816416,0.000885513990418486,0.0270573374476893,0.692065937566577
"2",0.410600538668719,0.410302039245864,0.000412826751393103,0.0163968310247919,1.11272488996235
"3",0.41066080090347,0.410682415670011,0.000379410079846387,0.0184041538107204,0.886059623345364
"4",0.411060414618158,0.407481153720092,0.00376890310904907,0.0551203146445187,0.403962905118599
